[2026-05-08T18:34:55.739Z] 🎤 Vaja Thai TTS Listener Started
[2026-05-08T18:34:55.741Z] 🎯 Listening for messages from: pran, soma, sayanprasathan, mue
[2026-05-08T18:34:55.741Z] 🚀 Starting inbox watcher...
[2026-05-08T18:34:55.741Z] 📊 Starting status reporter...
[2026-05-08T20:06:57.315Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:07:27.321Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:07:57.334Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:08:27.341Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:08:57.350Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:09:27.354Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:09:57.364Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:10:27.366Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:10:57.368Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:11:27.383Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:11:57.388Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:12:27.390Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:12:57.402Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:13:27.410Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:13:57.418Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:14:27.421Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:14:57.431Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:15:27.431Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:15:57.435Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:16:27.438Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:16:57.452Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:17:27.518Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:17:57.528Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:18:27.535Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:18:57.542Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:19:27.551Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:19:57.557Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:20:27.559Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:20:57.570Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:21:27.579Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:21:57.584Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:22:27.588Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:22:57.604Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:23:27.614Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:23:57.623Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:24:27.628Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:24:57.631Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:25:27.638Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:25:57.641Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:26:27.645Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:26:57.648Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:27:27.652Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:27:57.662Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:28:27.671Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:28:57.699Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:29:27.713Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:29:57.723Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:30:27.737Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:30:57.757Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:31:27.759Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:31:57.766Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:32:27.766Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:32:57.772Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:33:27.772Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:33:57.777Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:34:27.791Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:34:57.796Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:35:27.802Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:35:57.810Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:36:27.813Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:36:57.818Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:37:27.824Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:37:57.836Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
